Plant	Long	Lat	Local	Ano	Altura	DAP	N_folhas	Compri_folha	N_pinas	Compri_pina	Largura_pina	F_T	F_Casca	F_Polpa	F_Endo	F_Sem	S_T	S_Casca	S_Polpa	S_Endo	S_Sem	U_T	U_Casca	U_Polpa	U_Endo	U_Sem	OC
137	-48.328.056	-22.158.056	3	1	7.3	32.4	30	2.2	36	49.67	1.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
138	-48.327.944	-22.157.917	3	1	6.4	39.7	23	2.78	35	61.67	1.6	72.94	15.73	39.91	12.71	3.4	41.24	8.15	20.18	10.44	2.48	31.69	7.58	19.74	2.27	0.92	28.9
139	-48.328.028	-22.157.917	3	1	3.9	32.1	19	2.74	36	63.33	1.8	71.26	18.24	30.11	18.13	3.12	45.55	10.67	16.76	15.44	2.69	25.71	7.57	13.35	2.69	0.43	26.1
140	-48.328.222	-22.157.917	3	1	10	32.7	17	2.74	36	59.33	1.83	68.25	17.08	32.1	12.8	2.96	40.71	10.52	16.63	10.86	2.69	27.54	6.56	15.47	1.93	0.27	40.5
141	-48.328.222	-22.157.833	3	1	8.5	28.3	19	3.1	38	65.67	2.17	70.21	13.98	37.95	14.53	3.61	46.97	9.31	22.67	12.08	2.91	23.24	4.67	15.28	2.45	0.7	44.1
142	-48.328.167	-22.157.778	3	1	5.5	35	24	2.49	39	62	2	75.86	17.97	35.15	14.72	4.11	47.55	11.34	20.45	12.28	3.49	28.31	6.63	14.71	2.44	0.61	35.5
143	-48.328.306	-22.157.722	3	1	7	38.1	20	2.51	33	66	2.1	54.35	14.33	24.66	10.8	3.04	33.54	8.28	13.71	9.11	2.45	20.81	6.05	10.95	1.69	0.6	36.57
144	-48.328.278	-22.157.667	3	1	5.2	32.4	20	2.77	29	66.33	1.67	56.53	15.73	24.17	11.09	2.76	35.97	9.62	14.27	9.79	2.29	20.56	6.11	9.91	1.3	0.47	NA
145	-48.328.194	-22.157.639	3	1	10.1	31.1	24	2.98	33	70.67	2.27	68.15	15.56	38.43	11.03	2.03	40.22	8.85	20.27	9.35	1.75	27.93	6.71	18.16	1.68	0.28	41.17
146	-48.328.250	-22.157.528	3	1	8.7	31.8	23	2.95	30	67.33	1.8	72.7	14.7	40.5	13.98	2.92	41.99	8.27	23.72	8.76	1.24	30.71	6.43	16.79	5.22	1.67	35.73
147	-48.328.250	-22.157.528	3	1	6.3	32.1	19	2.52	34	57.67	1.73	68.23	13.04	36.96	14.53	2.94	40.89	7.52	19.59	12.16	2.44	27.33	5.51	17.38	2.37	0.5	34
148	-48.328.139	-22.156.750	3	1	7.2	28.6	20	2.71	32	60.67	1.87	84.24	26.06	37.5	15.51	3	51.79	15.82	20.69	12.91	2.36	32.46	10.24	16.81	2.6	0.64	51.07
149	-48.328.083	-22.157.222	3	1	9.2	28.3	22	2.8	34	76.33	1.73	52.17	15.43	23.13	10.41	2.41	33.23	9.49	12.86	8.81	2.06	18.95	5.94	10.27	1.6	0.35	NA
150	-48.327.889	-22.157.278	3	1	6.6	29.2	21	2.78	34	71.67	1.67	89.18	17.22	47.31	16.04	3.88	52.01	10.5	24.72	13.6	3.18	37.17	6.72	22.58	2.45	0.69	NA
151	-48.327.361	-22.156.528	3	1	8.7	26.7	22	2.53	28	71	2.6	74.86	16.68	38.09	14.06	4.07	47.26	9.53	22.46	11.83	3.44	27.6	7.15	15.64	2.23	0.63	40.33
152	-48.327.250	-22.156.556	3	1	11	33.1	30	3.05	31	89	2.03	87.01	23.99	47.2	11.71	2.98	56.07	15.8	27.62	10.02	2.64	30.94	8.2	19.58	1.69	0.34	51.5
153	-48.327.194	-22.156.528	3	1	7.5	31.8	20	2.62	31	56.33	1.93	66.35	14.98	35.11	12.13	2.87	44.01	9.68	20.78	10.92	2.63	22.34	5.3	14.33	1.21	0.24	37.43
154	-48.327.028	-22.156.444	3	1	6.1	33.4	23	2.82	34	67.67	1.53	73.05	13.91	41.16	14.76	3.41	45.8	8.22	22.17	12.58	2.84	27.25	5.7	18.99	2.19	0.57	32.8
155	-48.327.222	-22.156.167	3	1	8.3	30.2	16	2.74	41	61.67	1.57	54.35	13.82	26.99	10.32	2.88	34.56	8.41	15.22	8.68	2.25	19.79	5.41	11.76	1.64	0.63	35.87
156	-48.327.333	-22.156.000	3	1	7	35	17	2.89	38	65.67	1.67	60.24	13.94	31.35	13.79	4.93	36.14	7.46	15.4	10.41	2.87	24.1	6.48	15.96	3.39	2.06	41.9
157	-48.327.333	-22.156.000	3	1	5.5	33.7	15	2.36	37	68	1.63	67.91	13.7	37.67	11.84	3.99	32.43	7.13	17.69	4.4	3.21	35.48	6.57	19.99	7.44	0.78	43.3
158	-48.327.417	-22.155.944	3	1	11.6	30.25	19	2.98	35	68.33	2.07	64.68	15.18	32.64	11.46	2.26	38.72	9.23	18.43	9.47	1.59	25.95	5.94	14.21	1.99	0.67	NA
159	-48.327.389	-22.155.806	3	1	4.7	30.2	16	2.6	32	75.33	1.73	55.76	16.45	26.89	10.23	4.96	35.3	9.28	15.46	8.2	2.36	20.46	7.17	11.43	2.03	2.6	46.37
160	-48.327.306	-22.155.833	3	1	7.6	28.6	14	2.3	42	54.33	1.9	61.86	16.17	29.25	12.2	3.25	37.82	9.09	15.95	10.12	2.66	24.04	7.08	13.3	2.08	0.59	48.4
161	-48.327.250	-22.155.778	3	1	10.5	28.3	15	2.73	35	70	1.9	66.64	15.68	36.97	10.72	2.29	42.27	10.11	20.61	9.34	2.2	24.37	5.56	16.36	1.37	0.14	28.97
162	-48.327.111	-22.155.778	3	1	9.2	23.2	22	2.75	34	68	1.67	77.75	16.25	45.88	10.85	2.64	46.55	9.96	25.25	9.19	2.15	31.2	6.29	20.63	1.67	0.48	35.27
163	-48.327.056	-22.155.972	3	1	10	32.4	22	2.84	30	83.67	1.83	86.73	19.67	43.29	16.46	4.59	52.6	11.71	23.4	13.74	3.75	34.12	7.95	19.89	2.72	0.84	49.2
164	-48.327.083	-22.156.000	3	1	9.8	32.8	21	2.8	29	78.33	2.27	86.73	17.72	49.98	17.58	5.17	55.25	9.42	29.12	13.59	3.12	31.49	8.3	20.86	3.99	2.06	49.93
165	-48.326.806	-22.155.917	3	1	12	33.1	24	2.93	35	79.33	2.13	89.27	21.52	48.1	14.53	3.59	55.83	13.73	26.92	12.14	3.04	33.44	7.79	21.17	2.39	0.55	30.43
166	-48.326.778	-22.155.889	3	1	9.1	32.1	18	2.9	30	70.67	1.93	69.05	15.51	33.34	14.6	4.5	44.59	9.86	18.51	12.48	3.74	24.46	5.64	14.83	2.11	0.76	NA
167	-48.327.194	-22.155.028	3	1	8.1	30.2	20	2.42	36	73.67	1.87	78.2	13.49	43.51	14.89	3.47	45.58	8.65	24.46	10.86	1.6	32.62	4.84	19.04	4.03	1.87	38.67
168	-48.326.694	-22.155.000	3	1	6.3	30.8	18	2.58	35	70.67	1.8	95.88	18.09	50.19	20.98	4.91	51.11	9.34	23.26	14.83	3.68	44.76	8.75	26.93	6.15	1.23	31.6
169	-48.326.694	-22.155.028	3	1	8.7	26.4	16	2.39	39	63.67	1.93	82.78	19.63	41.02	16.44	3.97	47.76	11.69	19.46	13.49	3.12	35.02	7.94	21.56	2.95	0.85	40
170	-48.326.778	-22.154.972	3	1	9.9	24	11	2.12	45	55	1.7	68.04	14.74	34.98	13.72	3.3	40.09	9.71	15.88	11.66	2.84	27.95	5.03	19.11	2.06	0.46	28.93
171	-48.326.889	-22.154.861	3	1	9.2	25.5	18	2.91	32	68.33	1.83	83.52	15.79	49.16	13.51	2.94	46.13	8.79	23.16	11.62	2.55	37.39	7	26	1.89	0.38	40.4
172	-48.326.500	-22.154.417	3	1	9.1	30	16	3.1	37	69.67	1.97	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
173	-48.327.111	-22.154.250	3	1	6.3	27.7	20	2.68	42	65	2.07	76.62	20.78	41.51	10.91	2.41	38.73	10.89	16.44	9.22	2.18	37.89	9.89	25.07	1.7	0.23	33.5
174	-48.327.111	-22.154.250	3	1	8	28	17	2.74	36	78.33	1.87	76.27	20.23	38.21	13	3.68	43.47	11.63	18.12	10.69	3.04	32.8	8.6	20.1	2.31	0.65	34.1
175	-48.327.333	-22.153.972	3	1	7.7	32.5	19	2.81	31	75.67	1.73	86.71	17.67	49.56	14.45	3.02	42.21	8.56	22.57	10.1	0.99	44.49	9.12	26.99	4.35	2.04	29.43
176	-48.327.306	-22.154.083	3	1	9.5	28	18	2.94	38	55	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
177	-48.326.278	-22.154.861	3	1	9.1	25	14	2.6	32	63	1.9	91.29	22.5	46.65	17.19	3.76	54.09	12.38	24.59	14.16	2.96	37.2	10.12	22.06	3.03	0.8	35.43
178	-48.326.389	-22.155.056	3	1	11.2	31.3	17	3.02	36	74	2.03	78.12	16.59	38.99	15.05	4.16	43.52	8.96	18.45	12.73	3.39	34.59	7.63	20.54	2.32	0.77	37
179	-48.326.278	-22.155.083	3	1	7.4	28.5	13	2.54	37	67	2.13	96.05	25.02	53.57	11.97	3.44	42.55	11.29	18.8	9.84	2.63	53.49	13.74	34.77	2.13	0.81	32
180	-48.326.194	-22.155.361	3	1	10.5	33	22	2.74	37	67.67	2	61.16	13.87	29.65	13.93	3.53	42.35	9	18.61	11.94	2.8	18.81	4.87	11.04	1.99	0.72	44.3
181	-48.325.944	-22.155.417	3	1	7.6	27	17	2.54	39	76	2.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
182	-48.325.833	-22.155.500	3	1	8.6	28	17	2.65	26	78.33	1.97	66.25	13.12	35.32	13.56	2.94	37.42	7.59	16.5	11.18	2.15	28.83	5.53	18.82	2.38	0.79	33.4
183	-48.325.861	-22.155.556	3	1	9.2	29.3	16	2.65	31	66.33	1.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	33.57
184	-48.326.222	-22.155.472	3	1	8.3	24.5	16	2.51	34	67.67	1.83	78.42	18.88	39.82	14.52	3.88	49.87	11.66	22.62	12.38	3.21	28.55	7.22	17.2	2.13	0.67	31.6
185	-48.321.500	-22.157.389	4	1	7.8	23.5	18	3.1	33	66.33	1.83	89.77	17.78	51.8	16.81	5.11	58.42	10.9	29.47	13.98	4.08	31.35	6.89	22.34	2.82	1.03	28.57
186	-48.321.417	-22.157.583	4	1	8.5	27.3	15	2.7	35	72.67	1.7	79.56	19.38	42.03	13.39	3.41	44.62	10.43	19.81	11.34	3.04	34.94	8.95	22.22	2.05	0.37	38.3
187	-48.321.639	-22.157.694	4	1	8.6	19	18	3.1	33	71.33	1.9	72.35	12.27	41.33	13.4	3.85	41.4	6.62	20.9	11.01	2.87	30.95	5.65	20.43	2.39	0.98	40.3
188	-48.321.694	-22.157.194	4	1	7.9	30.5	19	2.5	34	60.33	1.6	62.77	12.56	33.84	11.64	3.98	35.55	6.49	16.52	9.64	2.9	27.22	6.07	17.33	1.99	1.07	32.63
189	-48.321.417	-22.157.056	4	1	6.7	28	23	2.51	36	71.67	1.9	72.58	17.65	33.79	16.55	4.35	40.74	8.65	14.47	13.93	3.69	31.84	9	19.32	2.61	0.66	NA
190	-48.321.417	-22.157.000	4	1	8.6	30.9	19	2.79	29	74	1.77	81.49	19.49	43.3	15.06	3.94	45.68	9.95	19.35	13.04	3.35	35.81	9.55	23.95	2.02	0.59	40.43
191	-48.321.500	-22.157.000	4	1	7.9	28.9	15	3.05	35	74.67	1.97	80.94	20.11	40.6	14.62	3.89	49.36	10.88	23.31	12.1	3.07	31.58	9.23	17.29	2.52	0.82	38.27
192	-48.321.972	-22.157.139	4	1	7.3	32	22	2.79	30	84.67	2	71.53	21.02	33.95	12.12	4.11	39.99	12.06	14.15	10.27	3.51	31.53	8.96	19.79	1.85	0.6	30.97
193	-48.322.167	-22.157.139	4	1	10	28	24	2.53	35	71	2.2	68.32	12.46	35.59	15	4.36	42.43	7.36	18.73	12.72	3.62	25.89	5.1	16.86	2.28	0.74	34.67
194	-48.322.361	-22.157.083	4	1	11.5	28.4	17	2.59	34	72.33	1.9	79.58	22.03	35.12	16.19	3.88	45.38	11.56	17.07	13.58	3.17	34.19	10.47	18.05	2.61	0.71	41.93
195	-48.322.861	-22.157.139	4	1	10.3	23.5	14	2.8	31	71.67	2.03	75.07	14.72	38.87	14.13	3.2	47.54	9.39	24.58	10.8	2.78	27.53	5.33	14.3	3.33	0.43	38.3
196	-48.323.194	-22.157.111	4	1	10.5	29.3	21	3.1	32	73.67	1.83	83.28	17.64	45.96	14.32	3.51	45.29	9.01	21.14	12.29	2.85	37.98	8.63	24.82	2.02	0.66	40.3
197	-48.323.222	-22.156.889	4	1	7.6	26.4	15	2.88	35	75.67	1.57	80.51	20.26	40.42	14.89	3.54	48.1	11.69	21.32	12.26	2.83	32.41	8.58	19.1	2.63	0.71	38.53
198	-48.323.139	-22.156.722	4	1	10	25.9	18	2.6	35	60	1.83	89.02	11.81	55.8	15.06	3.94	54.32	7.77	30.47	12.71	3.37	34.7	4.04	25.33	2.35	0.57	38.53
199	-48.323.500	-22.157.194	4	1	8.7	26.5	20	2.78	36	74	1.83	77.16	19.98	38.81	14.6	4.19	44.66	10.9	19.07	11.73	2.96	32.5	9.07	19.74	2.87	1.23	30.1
200	-48.323.556	-22.157.306	4	1	8.8	28.9	19	2.53	39	56	1.67	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
201	-48.323.361	-22.157.500	4	1	11.5	29.9	23	3.31	25	87	3.03	120.13	22.99	76.69	15.93	3.37	75.31	16.95	42.27	13.47	2.62	44.82	6.03	34.42	2.46	0.76	36.1
1	7548156	775409	1	2	8.9	30.3	14	2.68	36	73.67	2.63	49.44	12.8	16	15.69	2.55	34.85	9.37	9.59	13.95	1.95	14.59	3.44	6.4	1.75	0.6	NA
2	7548157	775430	1	2	10.1	27.7	13	2.53	25	69.67	1.5	50.72	11.17	20.53	13.87	3.07	34.01	7.48	12.07	11.87	2.59	16.72	3.69	8.46	2	0.48	44.43
3	7548175	775405	1	2	9.3	30.6	12	2.74	36	73	2.17	62.98	14.74	31.67	11.17	2.75	31.43	8.17	12.16	8.87	2.23	31.55	6.57	19.51	2.29	0.52	17.47
4	7548181	775413	1	2	10	28.7	9	2.56	44	63	2.07	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5	7548188	775413	1	2	8.3	28.7	10	2.79	32	65	2.47	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
6	7548188	775414	1	2	8.5	26.8	7	2.55	31	67.67	2.37	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7	7548191	775417	1	2	9.5	26.4	11	2.56	37	74	1.7	84.27	16.35	39.12	21.63	4.95	51.99	9.98	19.22	18.71	4.08	32.28	6.37	19.9	2.92	0.87	43.93
8	7548191	775398	1	2	6.8	28.3	14	2.2	29	53.33	2.37	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
9	7548191	775398	1	2	12.2	30.6	15	2.54	37	61.67	2.17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10	7548189	775391	1	2	NA	NA	NA	NA	NA	NA	NA	76.32	14.48	35.57	17.59	5.91	37.41	6.7	11.78	14.03	4.9	38.91	7.79	23.79	3.57	1.01	25.8
11	7548188	775387	1	2	9.7	29.9	22	2.99	34	64	2	56.08	9.95	21.96	13.05	2.98	33.66	7.23	12.13	11.83	2.47	22.42	2.72	9.83	1.22	0.51	39.73
12	7548192	775390	1	2	10.3	24.5	18	2.4	38	38.73	2.03	69.55	14.85	32.95	15.67	4.12	38.47	8.14	13.88	13.01	3.43	31.08	6.71	19.07	2.66	0.69	35.2
13	7548197	775393	1	2	8.3	28.3	13	2.69	37	67.67	2.27	71.89	14.91	30.3	14.38	3.37	37.01	9.62	11.42	13.12	2.85	34.88	5.29	18.88	1.26	0.52	25.23
14	7548198	775390	1	2	8.1	34.7	15	3.14	40	73	1.83	51.59	12.09	23.24	14.61	2.51	31.72	7.56	9.61	12.5	2.05	19.86	4.53	13.63	2.11	0.46	32.87
15	7548203	775388	1	2	9.6	27.1	14	2.68	36	66.33	2.17	69.76	11.62	35.65	16.31	4.39	40.7	7.26	16.2	13.67	3.56	29.06	4.36	19.45	2.64	0.83	39.17
16	7548207	775397	1	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
17	7548213	775412	1	2	13.6	30.9	12	2.89	35	64	1.53	96.26	19.2	49.55	19.57	5.05	54.47	9.87	24.29	16.03	4.28	41.79	9.33	25.26	3.54	0.78	41.83
18	7548218	775407	1	2	8.3	30.9	21	2.7	33	74	1.6	76.72	13.71	39.9	14.83	3.56	45.71	7.84	21.51	13.36	3	31.01	5.87	18.39	1.47	0.56	48.6
19	7548223	775403	1	2	7.4	27.7	20	2.54	30	58	2.27	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20	7548224	775394	1	2	9.8	27.4	27	2.29	40	52.67	2.63	115.41	25.98	56.75	19.6	4.39	62.67	16.91	25.11	16.95	3.69	52.74	9.07	31.64	2.65	0.7	34.9
21	7548260	775405	1	2	10	30.9	11	2.57	30	68.33	2.43	72.46	16.29	32.64	12.84	3.07	43.16	10.62	18.3	11.67	2.57	29.3	5.66	14.34	1.17	0.5	38.27
22	7548225	775412	1	2	8.6	30.6	24	3.12	35	78.67	2.16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
23	7548274	775423	1	2	8.2	29.9	13	3.13	40	67.33	2.33	60.63	10.97	31.95	10.52	3.11	39.1	7.78	19.2	9.43	2.69	21.53	3.2	12.75	1.08	0.42	48.43
24	7548285	775430	1	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
25	7548264	775438	1	2	9.5	28.7	9	2.35	35	61	2.03	70.32	15.63	32.86	15.12	4.07	40.22	9.31	14.97	12.82	3.12	30.1	6.32	17.89	2.3	0.95	29.03
26	7548273	775469	1	2	7.5	28.7	30	2.85	38	77.33	2.2	79.54	20.24	34.77	15.32	3.01	48.18	12.78	19.35	13.46	2.59	31.36	7.45	15.42	1.86	0.43	33.97
27	7548293	775451	1	2	5.6	30.6	24	2.68	41	67.67	2.2	80.23	18.3	43.54	11.98	2.28	42.46	11.8	18.51	10.51	1.64	37.76	6.5	25.03	1.47	0.63	34.37
28	7548280	775421	1	2	9.8	25.2	17	2.85	38	77.33	2.2	54.79	11.92	25.67	11.91	2.66	32.87	7.22	13.17	10.33	2.15	21.92	4.69	12.5	1.58	0.5	27.57
29	7548284	775440	1	2	7.2	31.2	25	2.85	30	66	2.6	68.55	15.49	33.41	14.88	3.04	44.22	9.78	19.13	12.8	2.52	24.33	5.71	14.27	2.08	0.52	33.57
30	7548306	775505	1	2	9.4	31.8	28	2.85	30	78.33	2.43	88.62	17.52	49.22	15.5	3.96	52.8	10.84	25.4	13.29	3.28	35.82	6.68	23.82	2.21	0.67	35.77
31	7548329	775509	1	2	9.4	25.5	20	2.33	31	53	1.8	54.95	11.29	24.7	12.48	2.94	34.58	7.49	13.69	10.85	2.55	20.38	3.8	11	1.63	0.4	27.43
32	7548333	775492	1	2	7.1	23.6	12	2.67	44	52	2.2	98.91	14.59	60.94	15.92	4.97	54.92	8.89	28.59	13.44	4	44	5.7	32.35	2.49	0.97	20.93
33	7548311	775467	1	2	8.7	23.2	16	2.01	27	70.33	2.03	39.9	8.13	18.92	9.7	2.05	25.01	4.86	9.78	8.61	1.77	14.89	3.27	9.14	1.09	0.28	21.63
34	7548308	775461	1	2	8.6	29.9	19	2.37	32	67.67	1.57	63.89	15.78	25.06	16.63	5.08	42.13	9.78	13.98	13.92	4.45	21.77	6.01	11.08	2.71	0.63	40.5
35	7548320	775450	1	2	6.2	29.9	19	1.92	36	58	1.7	54.89	10.87	26.85	12.35	2.81	32.58	5.74	13.99	10.45	2.4	22.31	5.13	12.86	1.9	0.4	36.77
36	7548315	775451	1	2	7.2	26.4	28	2.56	28	59.33	2.2	54.56	10.97	23.68	13.9	3.53	30.77	5.94	10.3	11.78	2.75	23.79	5.03	13.38	2.12	0.78	31.2
37	7548305	775444	1	2	9	29	33	2.36	34	58.67	2.1	76.59	13.67	44.91	14.36	2.18	44.49	7.65	22.48	12.4	1.95	32.11	6.02	22.42	1.96	0.23	33.57
38	7548300	775447	1	2	5.9	30.9	24	2.34	46	54.33	2.13	70.09	13.66	38.37	12.16	2.83	37.03	7.72	19.38	7.62	2.3	33.06	5.94	18.99	4.54	0.53	53.5
39	7548302	775459	1	2	8.6	30.9	25	2.39	38	57.67	2.07	77.38	15.07	40.85	15.78	3.13	46.04	8.68	21.05	13.62	2.7	31.34	6.39	19.8	2.16	0.43	33.23
40	7548296	775459	1	2	7.4	29.3	23	2.49	36	46.5	1.93	60.51	11.05	29.65	13.56	2.63	36.72	6.57	16.06	11.87	2.22	23.79	4.48	13.6	1.69	0.4	37.03
41	7548298	775415	1	2	5.1	36.9	30	2.43	44	58.67	1.77	80.92	16.64	38.33	16.64	5.24	53.44	11.28	22.75	14.93	4.48	27.47	5.36	15.58	1.71	0.75	31.33
42	7548306	775403	1	2	9.5	33.4	31	2.7	36	76.33	2.43	111.29	21.31	50.82	27.49	6.17	71.64	13.24	29.57	23.68	5.15	39.65	8.07	21.24	3.81	1.02	41.1
43	7548360	775369	1	2	6.7	35	40	2.78	22	61.33	2.2	79.86	17.09	40.16	13.46	3.9	51	11.86	23.38	12.34	3.42	28.86	5.23	16.78	1.12	0.48	60.8
44	7548325	775375	1	2	11.6	29.6	30	2.46	44	52.33	1.73	65.9	12.92	31.42	14.97	4.22	41.4	7.83	17.24	12.69	3.65	24.5	5.1	14.18	2.28	0.57	57.03
45	7548325	775374	1	2	4.7	31.2	32	2.38	37	56.33	2.3	48.3	11.73	19.17	12.65	2.61	30.68	7.05	10.91	10.51	2.22	17.62	4.68	8.26	2.15	0.39	53.47
46	7548324	775373	1	2	7.9	32.8	20	2.7	35	72	1.97	75.68	15.52	39.64	14.55	3.62	47.57	10.48	22.51	11.5	3.08	28.11	5.04	17.13	3.06	0.53	38.37
47	7548324	775363	1	2	10.9	22.6	35	1.9	41	44	1.7	82.86	16.42	43.82	12.86	4.29	50.24	10.52	24.1	11.98	3.65	32.61	5.9	19.72	0.88	0.64	40.1
48	7548327	775367	1	2	6.2	23.5	20	2.39	38	52.67	1.53	57.66	9.4	24.08	15.14	4.66	35.79	6.68	12.06	13.34	3.71	21.87	2.72	12.01	1.8	0.95	42.6
49	7548322	775360	1	2	9.4	23.6	28	2.47	41	53.33	2.17	101.16	21.22	54.42	17.28	5.14	66.62	14.44	32.62	15.28	4.29	34.53	6.78	21.8	2	0.85	36.57
50	7548330	775348	1	2	8.5	30.9	32	2.74	36	58.33	1.97	96.65	38.37	49.36	19.33	4.38	51.94	9.72	21.64	17	3.57	44.71	28.64	27.72	2.32	0.81	39
51	7548343	775355	1	2	6.6	33.8	38	2.7	31	67.33	2.03	93.07	17.15	53.41	14.97	4.56	49.24	10.33	21.96	13.19	3.76	43.83	6.82	31.45	1.78	0.8	33.5
52	7548346	775340	1	2	8.2	30.9	32	2.93	31	63	1.8	48.16	9.28	22.74	10.64	2.69	29.3	5.89	11.58	9.56	2.27	18.87	3.39	11.16	1.08	0.42	51.23
53	7548343	775333	1	2	10.2	25.8	30	2.98	37	57	1.9	61.24	12.12	27.56	14.81	4.32	38.74	8.33	13.71	13.26	3.44	22.5	3.79	13.85	1.54	0.88	33.03
54	7548340	775339	1	2	13	29.9	30	2.64	31	70.67	2.2	113.34	22.56	54.62	20.27	4.61	62.9	13.72	26.9	18.28	4	50.44	8.84	27.72	1.99	0.6	37.4
55	7548332	775340	1	2	7.8	31.5	27	1.93	39	47	1.93	64.31	13.61	31.46	12.18	3.4	42.66	9.67	18.81	11.26	2.92	21.64	3.94	12.65	0.91	0.48	50.13
56	7548340	775327	1	2	5.2	30.6	31	2.39	39	59.67	2.1	71.3	15.63	35.22	15.9	2.75	41.38	9.04	16.75	13.29	2.3	29.91	6.59	18.48	2.61	0.44	22.6
57	7548334	775322	1	2	10.1	36.9	36	2.66	32	68	2.13	90	20.11	45.77	17.71	4.47	52.14	10.92	22.55	14.9	3.77	37.86	9.19	23.22	2.81	0.71	32.23
58	7548351	775303	1	2	10.1	36.9	36	2.8	37	61.33	2.57	79.08	13.99	40.6	15.55	4.47	51.13	9.87	23.39	14.06	3.81	27.95	4.12	17.21	1.49	0.67	31.73
59	7548368	775308	1	2	6.1	23.6	23	2.14	38	51	1.43	54.16	11.73	22.35	15.66	3.81	32.21	6.52	9.53	12.87	3.29	21.95	5.21	12.81	2.79	0.52	31.87
60	7548357	775293	1	2	9.7	30.9	22	2.29	32	54.33	2.1	84.05	17.49	45.84	14.99	3.1	44.72	9.27	20.44	12.52	2.49	39.33	8.22	25.4	2.47	0.61	30.73
61	7548351	775283	1	2	6.2	29.3	24	2.66	34	61.33	1.5	57.03	12.14	24.21	14.4	3.48	35.13	7.68	11.83	12.68	2.94	21.9	4.45	12.38	1.73	0.54	31.37
62	7548291	775319	1	2	6.9	25.2	25	2.6	34	68.33	2.33	92.09	23.09	46.07	15.11	4.27	51.08	12.7	22.59	12.43	3.36	41.01	10.4	23.48	2.68	0.91	36.73
63	7548282	775329	1	2	5.1	27.7	24	2.43	32	66.33	1.8	75.76	19.68	39.83	12.74	2.69	47.04	12.02	22.17	10.68	2.17	28.73	7.66	17.66	2.07	0.52	32.47
64	7548268	775339	1	2	10.2	30.6	35	2.92	30	65.67	2.17	79.9	18.82	40.73	14.27	3.79	52.68	12.79	24.14	12.62	3.13	27.22	6.03	16.59	1.65	0.66	46.27
65	7548266	775347	1	2	6.1	27.1	24	2.74	38	57.33	1.27	54.82	12.8	24.09	11.79	4.03	32.94	7.46	12.42	9.74	3.32	21.88	5.34	11.67	2.05	0.71	32.9
66	7548260	775349	1	2	9.3	29	32	2.75	39	68.67	2.67	74.52	18.71	33.24	17.38	4.54	45.23	9.87	16.63	14.92	3.8	29.29	8.84	16.61	2.46	0.73	51.77
67	7548255	775339	1	2	4.8	37.9	22	2.29	44	56	1.83	68.49	13.29	36.72	13.4	3.45	34.38	6.99	13.74	10.87	2.78	34.11	6.3	22.98	2.53	0.67	32.13
68	7548251	775344	1	2	8.7	29.3	28	2.4	34	73.33	1.97	104.13	26.67	56.06	19.06	4.78	64.39	14.94	32.23	14.62	2.59	39.74	11.72	23.83	4.44	2.19	37.17
69	7548281	775363	1	2	9.2	27.7	30	2.42	31	66	2.2	80.64	17.27	39.2	15.06	3.6	43.82	9.02	18.4	13.33	3.08	36.82	8.25	20.8	1.73	0.53	38.37
70	7548286	775368	1	2	8.7	29.9	25	2.63	39	61.33	2.67	71.88	18.39	33.49	13.94	3.75	39.75	9.17	16.03	11.3	3.25	32.12	9.21	17.47	2.64	0.5	36.47
71	7548295	775377	1	2	9.5	31.8	19	2.57	40	62.33	1.93	69.85	16.42	34.73	14.39	3.06	41.16	9.05	18.17	11.54	2.4	28.69	7.37	16.56	2.85	0.66	43.83
72	7548284	775379	1	2	9.2	31.8	38	2.98	36	71	1.83	66.04	16.03	30.77	13.26	3	42.56	10.57	17.84	11.55	2.59	23.49	5.46	12.93	1.71	0.41	29.4
