ID	H	DBH	LN	LL	NN	NL	NW	FM	HFM	PFM	EFM	KFM	FDM	HDM	PDM	EDM	KDM	OC
133	6.8	29.4	22.5	2.75	30.5	63.97	1.93	75.61	19.19	38	13.32	3.23	48.27	12.43	21.67	11.57	2.72	45.29
134	8.1	29.25	21.5	2.91	33	68.17	2.08	63.15	12.23	31.61	14.12	2.7	39.64	7.61	17.7	12.05	2.28	32.22
135	8.25	30.55	32	2.43	29.5	77.15	2.08	69.45	14.07	31.15	13.08	4.49	41.27	8.94	17.05	11.77	3.64	37.24
136	10.45	30.85	27	2.42	31.5	70	1.95	94.91	23.8	47.47	16.88	4.93	59.34	14.36	26.61	14.17	4.19	41.62
137	7.85	30.2	29	2.3	34	48.92	1.75	69.29	14.12	36.84	12.2	3.05	39.24	8.63	17.48	10.7	2.57	35.06
138	7.2	33.35	24.5	3.02	35.5	64.34	1.7	69.41	14.56	36.1	12.26	3.39	39.94	7.98	18.61	10.66	2.69	27.13
139	4.2	30.55	19.5	2.79	33.5	64.8	1.81	70.03	15.84	29.38	18.61	3.09	45.55	9.98	16.72	16.21	2.65	26.9
140	10.6	27.85	28.5	2.7	36.5	63.25	1.88	63.62	15.7	29.03	13.54	2.95	38.76	9.77	15.08	11.33	2.57	35.46
141	9	27.65	22	3.11	35	63	1.97	62.52	13.14	31.32	13.98	3.33	41.48	8.47	18.63	11.67	2.71	43.54
142	5.8	31.5	23.5	2.54	36.5	62.09	1.91	70.27	15.84	33.59	14	4.07	42.8	9.22	18.42	11.78	3.4	34.81
143	7.15	33.05	26.5	2.54	32.5	65.82	2.11	52	13.47	22.04	11.05	3.02	32.76	8.03	12.6	9.54	2.47	36.18
144	5.55	28.7	24	2.81	28	64.58	1.68	62.7	14.64	25.82	13.24	3.02	38.85	9.75	15.03	11.88	2.19	39.72
145	10.65	29.05	29	2.95	35	68.6	2.17	63.55	14.08	34.12	11.71	2.15	37.9	8.01	18.35	9.76	1.78	40.34
146	9.25	26.4	27.5	2.71	34	65.92	1.85	73.91	16.56	38.47	14.14	2.75	45.81	10.56	22.79	10.73	1.74	34.93
147	6.45	27.05	17	2.54	34	59.25	1.78	62.99	13.21	30.63	15.05	2.95	38.26	7.38	16.2	12.65	2.45	37.85
148	8.15	24.8	22.5	2.62	33.5	62.37	1.92	75.26	21.95	33.62	15.17	2.61	47.11	13.51	18.77	12.71	2.12	49.75
149	9.8	26.65	22.5	2.65	32	72.5	1.8	51.6	14.4	22.96	10.88	2.28	31.86	8.44	12.25	9.23	1.93	37.26
150	6.55	25.6	27	2.79	33	71.34	1.72	86.83	16.36	44.69	16.29	3.86	51.23	10.25	23.61	14.03	3.2	NA
151	9.05	24.85	24.5	2.57	33	63.27	2.06	74.18	15.95	35.92	15.11	3.88	47.69	9.59	21.85	12.98	3.27	41.4
152	11.55	28.55	36	3.03	36.5	81.34	2.13	86.36	23.69	45.99	12.22	2.94	54.5	15.54	26.17	10.26	2.54	51.86
153	7.8	26.9	21	2.58	31.5	55.83	1.98	72.49	15.68	37.53	14.03	3.42	47.65	10.07	22.08	12.52	3	39.45
154	6.45	28.2	24.5	2.97	34.5	68.92	1.58	77.48	14.02	42.96	15.48	3.46	48.69	8.88	23.66	13.36	2.79	32.31
155	7.85	26.85	18	2.75	38.5	57.84	1.55	56.56	14.37	27.26	11.09	2.77	35.3	8.67	15.31	9.25	2.07	35.39
156	7.4	32.25	17.5	2.95	37.5	67.84	1.67	65.47	13.92	32.05	14.09	4.11	38.76	7.86	16.86	11.2	2.84	40.79
