ID	H	DBH	LN	LL	NN	NL	NW	FM	HFM	PFM	EFM	KFM	FDM	HDM	PDM	EDM	KDM	OC
71	9.1	30.4	18.5	2.76	42	64.5	2.18	72.2	17.28	37.35	14.14	3.08	41.94	9.3	19.28	11.11	2.38	44.22
72	8.95	30.15	28	2.99	33.5	76.17	2.25	71.85	18.02	35	13.5	3.01	42.42	10.92	17.43	11.49	2.58	24.8
73	9.2	29.6	19	2.25	37.5	68	2.54	59.26	13.5	28.52	13.13	4.01	37.67	8.05	15.24	11.13	3.38	48.66
74	7.2	25.2	28	2.34	37.5	62.33	2.42	97.28	22.06	56.94	13.96	3.21	51.11	11.71	25.26	11.62	2.66	27.59
75	7.45	31.9	23	2.88	33	71.09	2.03	82.28	14.31	49.1	11.81	3.25	50.67	9.88	27.41	10.67	2.84	26.52
76	6.45	25.4	25.5	2.42	39	66.5	2.5	77.74	15.09	43.82	13.3	3.09	44.14	8.26	21.65	11.73	2.63	22.09
77	5.45	33.2	31	2.76	32.5	74.16	2.21	133.61	25.36	73.47	24.41	4.9	84.05	15.92	42.85	21.15	4.13	34.55
78	6.65	30.8	15	2.21	35	57	2.17	75.26	13.18	42.26	12.84	3.76	38.52	6.24	18.39	10.75	3.14	42.82
79	8.9	26.25	29.5	2.73	36.5	72.83	2.87	63.08	14.05	29.89	13.86	3.51	38.07	8.07	15.39	11.78	2.85	37.75
80	9.45	26.45	27	2.79	34	84.66	2.75	72.05	14.5	38.24	14.14	3.71	42.28	7.74	19.56	11.85	3.14	43.01
81	8.8	27.6	20.5	2.35	36	70.83	2.38	74.64	13.12	42.05	13.74	3.36	41.86	7.37	19.96	11.75	2.76	36.2
82	6.35	28.65	25.5	2.71	28	72.17	1.57	63.74	12.22	36.59	10.95	3.18	39.54	6.93	20.63	9.26	2.73	35.71
83	6.25	25.65	15.5	2.78	31	75.17	2.36	73.18	12.75	42.89	12.11	3.37	40.86	6.85	20.7	10.49	2.83	33.48
84	7.4	29.45	25	2.69	31	76.33	1.98	67.76	15.6	33.46	13.02	3.17	37.06	8.17	16.26	10.24	2.39	37.53
85	8.9	28.5	23.5	2.87	35	70.5	2.08	66.65	17.82	31.93	13.16	2.42	39.49	10.23	16.23	10.99	2.05	29.72
86	4.95	26.25	23	2.1	39.5	67.5	1.77	43.07	10.59	19.97	9.57	2.61	30.53	7.49	12.89	8.02	2.25	28.36
87	6.2	25.8	26.5	2.27	32	65.83	2.5	97.62	23.97	47.82	19.53	4.44	53.1	13.27	20.34	15.84	3.65	27.17
88	7	31.5	25	3.18	33	86.17	2.57	67.03	16.52	33.74	10.91	4.14	38.95	9.86	16.29	9.33	3.48	40.26
